"No.","Time","Source","Destination","Protocol","Length","Info"
"32","19.159219797","172.16.41.1","172.16.40.1","ICMP","98","Echo (ping) request  id=0x75d2, seq=7/1792, ttl=64 (reply in 33)"
"33","19.159672369","172.16.40.1","172.16.41.1","ICMP","98","Echo (ping) reply    id=0x75d2, seq=7/1792, ttl=63 (request in 32)"
"34","20.048888131","Cisco_d4:1c:04","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 32768/41/30:37:a6:d4:1c:00  Cost = 0  Port = 0x8004"
"35","20.183227081","172.16.41.1","172.16.40.1","ICMP","98","Echo (ping) request  id=0x75d2, seq=8/2048, ttl=64 (reply in 36)"
"36","20.183581665","172.16.40.1","172.16.41.1","ICMP","98","Echo (ping) reply    id=0x75d2, seq=8/2048, ttl=63 (request in 35)"
"37","20.749260216","Cisco_d4:1c:04","Cisco_d4:1c:04","LOOP","60","Reply"
"38","21.207235202","172.16.41.1","172.16.40.1","ICMP","98","Echo (ping) request  id=0x75d2, seq=9/2304, ttl=64 (reply in 39)"
"39","21.207655996","172.16.40.1","172.16.41.1","ICMP","98","Echo (ping) reply    id=0x75d2, seq=9/2304, ttl=63 (request in 38)"
"40","22.053766531","Cisco_d4:1c:04","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 32768/41/30:37:a6:d4:1c:00  Cost = 0  Port = 0x8004"
"41","22.231222930","172.16.41.1","172.16.40.1","ICMP","98","Echo (ping) request  id=0x75d2, seq=10/2560, ttl=64 (reply in 42)"
"42","22.231659089","172.16.40.1","172.16.41.1","ICMP","98","Echo (ping) reply    id=0x75d2, seq=10/2560, ttl=63 (request in 41)"
"43","22.718015984","172.16.41.254","255.255.255.255","RIPv1","66","Response"
"44","23.255228118","172.16.41.1","172.16.40.1","ICMP","98","Echo (ping) request  id=0x75d2, seq=11/2816, ttl=64 (reply in 45)"
"45","23.255576417","172.16.40.1","172.16.41.1","ICMP","98","Echo (ping) reply    id=0x75d2, seq=11/2816, ttl=63 (request in 44)"
"46","24.058757026","Cisco_d4:1c:04","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 32768/41/30:37:a6:d4:1c:00  Cost = 0  Port = 0x8004"
"47","24.279226252","172.16.41.1","172.16.40.1","ICMP","98","Echo (ping) request  id=0x75d2, seq=12/3072, ttl=64 (reply in 48)"
"48","24.279645231","172.16.40.1","172.16.41.1","ICMP","98","Echo (ping) reply    id=0x75d2, seq=12/3072, ttl=63 (request in 47)"
"49","25.303228857","172.16.41.1","172.16.40.1","ICMP","98","Echo (ping) request  id=0x75d2, seq=13/3328, ttl=64 (reply in 50)"
"50","25.303580997","172.16.40.1","172.16.41.1","ICMP","98","Echo (ping) reply    id=0x75d2, seq=13/3328, ttl=63 (request in 49)"
"51","26.063558321","Cisco_d4:1c:04","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 32768/41/30:37:a6:d4:1c:00  Cost = 0  Port = 0x8004"
"52","26.327224686","172.16.41.1","172.16.40.1","ICMP","98","Echo (ping) request  id=0x75d2, seq=14/3584, ttl=64 (reply in 53)"
"53","26.327581994","172.16.40.1","172.16.41.1","ICMP","98","Echo (ping) reply    id=0x75d2, seq=14/3584, ttl=63 (request in 52)"
"54","27.351224147","172.16.41.1","172.16.40.1","ICMP","98","Echo (ping) request  id=0x75d2, seq=15/3840, ttl=64 (reply in 55)"
"55","27.351526071","172.16.40.1","172.16.41.1","ICMP","98","Echo (ping) reply    id=0x75d2, seq=15/3840, ttl=63 (request in 54)"
"56","28.068495457","Cisco_d4:1c:04","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 32768/41/30:37:a6:d4:1c:00  Cost = 0  Port = 0x8004"
"57","28.375222840","172.16.41.1","172.16.40.1","ICMP","98","Echo (ping) request  id=0x75d2, seq=16/4096, ttl=64 (reply in 58)"
"58","28.375654320","172.16.40.1","172.16.41.1","ICMP","98","Echo (ping) reply    id=0x75d2, seq=16/4096, ttl=63 (request in 57)"
"59","29.399222162","172.16.41.1","172.16.40.1","ICMP","98","Echo (ping) request  id=0x75d2, seq=17/4352, ttl=64 (reply in 60)"
"60","29.399547063","172.16.40.1","172.16.41.1","ICMP","98","Echo (ping) reply    id=0x75d2, seq=17/4352, ttl=63 (request in 59)"
"61","30.073467305","Cisco_d4:1c:04","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 32768/41/30:37:a6:d4:1c:00  Cost = 0  Port = 0x8004"
"62","30.423223439","172.16.41.1","172.16.40.1","ICMP","98","Echo (ping) request  id=0x75d2, seq=18/4608, ttl=64 (reply in 63)"
"63","30.423629566","172.16.40.1","172.16.41.1","ICMP","98","Echo (ping) reply    id=0x75d2, seq=18/4608, ttl=63 (request in 62)"
"64","30.753367570","Cisco_d4:1c:04","Cisco_d4:1c:04","LOOP","60","Reply"
"65","31.447227928","172.16.41.1","172.16.40.1","ICMP","98","Echo (ping) request  id=0x75d2, seq=19/4864, ttl=64 (reply in 66)"
"66","31.447528665","172.16.40.1","172.16.41.1","ICMP","98","Echo (ping) reply    id=0x75d2, seq=19/4864, ttl=63 (request in 65)"
"67","31.826877895","Cisco_d4:1c:04","CDP/VTP/DTP/PAgP/UDLD","CDP","432","Device ID: tux-sw4  Port ID: FastEthernet0/2  "
"68","32.078311063","Cisco_d4:1c:04","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 32768/41/30:37:a6:d4:1c:00  Cost = 0  Port = 0x8004"
"69","32.471227390","172.16.41.1","172.16.40.1","ICMP","98","Echo (ping) request  id=0x75d2, seq=20/5120, ttl=64 (reply in 70)"
"70","32.471640501","172.16.40.1","172.16.41.1","ICMP","98","Echo (ping) reply    id=0x75d2, seq=20/5120, ttl=63 (request in 69)"
"71","33.495226711","172.16.41.1","172.16.40.1","ICMP","98","Echo (ping) request  id=0x75d2, seq=21/5376, ttl=64 (reply in 72)"
"72","33.495459422","172.16.40.1","172.16.41.1","ICMP","98","Echo (ping) reply    id=0x75d2, seq=21/5376, ttl=63 (request in 71)"
"73","34.083176961","Cisco_d4:1c:04","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 32768/41/30:37:a6:d4:1c:00  Cost = 0  Port = 0x8004"
"74","34.519225055","172.16.41.1","172.16.40.1","ICMP","98","Echo (ping) request  id=0x75d2, seq=22/5632, ttl=64 (reply in 75)"
"75","34.519626084","172.16.40.1","172.16.41.1","ICMP","98","Echo (ping) reply    id=0x75d2, seq=22/5632, ttl=63 (request in 74)"
"76","35.543227170","172.16.41.1","172.16.40.1","ICMP","98","Echo (ping) request  id=0x75d2, seq=23/5888, ttl=64 (reply in 77)"
"77","35.543659278","172.16.40.1","172.16.41.1","ICMP","98","Echo (ping) reply    id=0x75d2, seq=23/5888, ttl=63 (request in 76)"
"78","36.088079596","Cisco_d4:1c:04","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 32768/41/30:37:a6:d4:1c:00  Cost = 0  Port = 0x8004"
"79","36.567223349","172.16.41.1","172.16.40.1","ICMP","98","Echo (ping) request  id=0x75d2, seq=24/6144, ttl=64 (reply in 80)"
"80","36.567623889","172.16.40.1","172.16.41.1","ICMP","98","Echo (ping) reply    id=0x75d2, seq=24/6144, ttl=63 (request in 79)"
"81","37.591224277","172.16.41.1","172.16.40.1","ICMP","98","Echo (ping) request  id=0x75d2, seq=25/6400, ttl=64 (reply in 82)"
"82","37.591634734","172.16.40.1","172.16.41.1","ICMP","98","Echo (ping) reply    id=0x75d2, seq=25/6400, ttl=63 (request in 81)"
"83","38.092889412","Cisco_d4:1c:04","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 32768/41/30:37:a6:d4:1c:00  Cost = 0  Port = 0x8004"
